,id_diet,tipe_diet,tipe_masakan,resep_masakan,kadar_protein,kadar_karbo,kadar_lemak,fitur_tfidf,segmentasi_kadar_protein,segmentasi_kadar_karbo,segmentasi_kadar_lemak
6061,1,dash,american,100-Mile Dash,1.9,236.76,1.02,dash 100-Mile Dash american,0,1,0
6063,2,dash,american,Garlicky Wilted Kale (With A Dash Of Nutmeg),29.41,75.78,47.8,dash Garlicky Wilted Kale (With A Dash Of Nutmeg) american,2,3,2
6065,3,dash,american,Three Dots And A Dash,0.51,139.67,0.0,dash Three Dots And A Dash american,0,3,0
6068,4,dash,american,Aztec Chocolate Bark,34.28,227.68,134.18,dash Aztec Chocolate Bark american,2,1,1
6070,5,dash,american,Spaghetti Squash With Maple Syrup And Shallots Recipes,8.54,128.66,39.43,dash Spaghetti Squash With Maple Syrup And Shallots Recipes american,0,3,2
6082,6,dash,american,3 Delicious Ways To Roast Your Cauliflower Recipes,2.85,15.5,1.13,dash 3 Delicious Ways To Roast Your Cauliflower Recipes american,0,0,0
6087,7,dash,american,Agave Lime Chicken Recipes,150.85,124.57,144.13,dash Agave Lime Chicken Recipes american,1,3,1
6090,8,dash,american,Spiced Old Fashioned,0.25,9.07,0.15,dash Spiced Old Fashioned american,0,0,0
6095,9,dash,american,Pecan Butter,18.36,47.61,162.93,dash Pecan Butter american,2,2,1
6097,10,dash,american,Bonus Recipe: Do The Cabbage Pack!,10.9,35.69,34.85,dash Bonus Recipe: Do The Cabbage Pack! american,0,2,2
6103,11,dash,american,Maple-Gingerbread Pots De Crème,34.51,152.25,85.14,dash Maple-Gingerbread Pots De Crème american,2,3,3
6110,12,dash,american,Old-Fashioned Cornbread Stuffing,62.04,264.05,147.9,dash Old-Fashioned Cornbread Stuffing american,3,1,1
6112,13,dash,american,Avocado-Sprout Toast,5.54,17.37,9.62,dash Avocado-Sprout Toast american,0,0,0
6116,14,dash,american,Crunchy Baked Fish,131.61,14.66,21.66,dash Crunchy Baked Fish american,1,0,0
6117,15,dash,american,Simple Savory Scallops,3.03,0.92,0.14,dash Simple Savory Scallops american,0,0,0
